comment_counter,comment_text,clear_comment_spell,Sign_sen_str,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,word_count,sd,ave_sentiment
source1_20144737_0,"This story gives broader context to the earlier reports of the abuse of band finances by the native leadership. The hardship on the reserves does have to be addressed but the people who have to lead on this are the reserve leaders themselves. Trying to do anything from the outside, as was the case recently with education, will be another waste of time and scarce money, resulting more bruised feelings. We have to see the problem for what it is : reserve based and nurtured.",This story gives broader context earlier reports abuse band finances native leadership The hardship reserves addressed people lead reserve leaders Trying anything outside case recently education another waste time scarce money resulting bruised feelings We see problem reserve based nurtured,"c(""fear"", ""sadness"")",0,0,0,1,0,1,0,0,84,0.117612016,-0.137475232
source1_20144737_1_0,"Unfortunately, this child was taken from her home because she kept running away from the help her family (aunt) was trying to provide. Her aunt requested the help of social services. The child ran away from them too. More First Nations children are being scooped today than ever before, because of family dysfunction.",Unfortunately child taken home kept running away help family aunt trying provide Her aunt requested help social services The child ran away More First Nations children scooped today ever family dysfunction,trust,0,0,0,0,0,0,0,1,53,0.212142247,0.048125628
source1_20144737_10,' ... all of which are linked to the fallout of colonization.'Yet some First Nations thrive.,linked fallout colonization Yet First Nations thrive,0,0,0,0,0,0,0,0,0,15,0.313958956,0.102063244
source1_20144737_10_0,What about the stronger tribes that essentially colonized weaker tribes? Don't think the losers in these fights were looked after so well.,What stronger tribes essentially colonized weaker tribes Don think losers fights looked well,0,0,0,0,0,0,0,0,0,22,0.47922686,0.18075068
source1_20144737_13,This situation is tragic. It is time the aboriginal people started raising their children sensibly. Constantly blaming the rest of Canadians for the many aboriginal problems and asking more and more from other Canadians is annoying and ridiculous.,This situation tragic It time aboriginal people started raising children sensibly Constantly blaming rest Canadians many aboriginal problems asking Canadians annoying ridiculous,anger,1,0,0,0,0,0,0,0,38,0.45278195,-0.324965406
source1_20144737_27_0_0,"Less is done? can you actually support that claim with real evidence? Or have you just swallowed the hype, hook, line and sinker?",Less done actually support claim real evidence Or swallowed hype hook line sinker,0,0,0,0,0,0,0,0,0,23,0.158777618,0.005617189
source1_20144737_30_0,Also it seems that many of the reserves are full of crime and corruption. They are doing it to themselves !,Also seems many reserves full crime corruption They,0,0,0,0,0,0,0,0,0,20,0.283473355,-0.218761209
source1_20144737_31,Why does no one blame the RICH Chiefs????Shouldn't they be held responsible also?????,Why one blame RICH Chiefs Shouldn held responsible also,0,0,0,0,0,0,0,0,0,14,0,0.267261242
source1_20144737_5,"The one word that stood out to me in this and one I was glad was included was NEGLECT. Kids having kids. Poverty is maintained when families are not waiting to be grown, educated and employed before starting a family. A culture of Non-interference whereby the kids are basically left alone without the most basic of expectations and routines is the place to start. It can't be done or even suggested by the non-aboriginal community however for obvious reasons. So we wait.. and the cycle continues.",The one word stood one I glad included NEGLECT Kids kids Poverty maintained families waiting grown educated employed starting family A culture Non interference whereby kids basically left alone without basic expectations routines place start It done even suggested non aboriginal community however obvious reasons So wait cycle continues,"c(""anticipation"", ""trust"")",0,1,0,0,0,0,0,1,88,0.166365098,0.040841478
source1_20144737_8,"All of this energy should be directed at the parents of aboriginal women. These young children have no positive role models, the family structure does not exist to help children grow into thriving citizens in society. The state can not fill all of that void.",All energy directed parents aboriginal women These young children positive role models family structure exist help children grow thriving citizens society The state fill void,"c(""anticipation"", ""joy"", ""trust"")",0,1,0,0,1,0,0,1,45,0.29494534,-0.249425601
source1_21094039_39,"Harper promised 15% discount of 1000 dollars spent on children's sports activities. Mulcair promises 15 dollar a day child care. I will go with Mulcair. Harper helps rich parents who can afford 1000 dollars sports activities per child. Mulcair cares for the middle and poor class. Lot of parents could not afford second child because of huge child care expenses. We should not entirely depend on the immigration population. We need more canadian born people. If there will be any economic armagaddon like greece, all the immigrants will disappear and make the situation worse, but canadian born people will never leave this beautiful country. Thomas, Bring it on. You are the next prime minister.",Harper promised 15 discount 1000 dollars spent children sports activities Mulcair promises 15 dollar day child care I go Mulcair Harper helps rich parents afford 1000 dollars sports activities per child Mulcair cares middle poor class Lot parents could afford second child huge child care expenses We entirely depend immigration population We need canadian born people If economic armagaddon like greece immigrants disappear make situation worse canadian born people never leave beautiful country Thomas Bring You next prime minister,"c(""anticipation"", ""joy"")",0,1,0,0,1,0,0,0,110,0.342864837,0.208678851
source1_21094039_40,Don't the Liberals trot this chesnut out before every election?,Don Liberals trot chesnut every election,0,0,0,0,0,0,0,0,0,10,0,0
